id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,result_margin,eliminator,method,umpire1,umpire2,venue
12,2008,Bangalore,2008-05-07,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,wickets,0,Lucknow Super Giants,5,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
13,2008,Hyderabad,2008-05-19,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,runs,0,Rajasthan Royals,2,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
14,2008,Ahmedabad,2008-03-28,Gujarat Titans,Delhi Capitals,Gujarat Titans,bat,runs,0,Gujarat Titans,9,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
15,2008,Mumbai,2008-03-06,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,runs,0,Mumbai Indians,17,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
16,2008,Mohali,2008-03-16,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,3,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
17,2008,Bangalore,2008-05-14,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,runs,0,Royal Challengers Bangalore,7,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
18,2008,Hyderabad,2008-05-22,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,wickets,0,Sunrisers Hyderabad,5,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
19,2008,Ahmedabad,2008-05-12,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,runs,0,Gujarat Titans,38,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
20,2008,Mumbai,2008-05-22,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,tie,0,Mumbai Indians,0,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
21,2008,Mohali,2008-04-28,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,3,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
22,2008,Bangalore,2008-04-19,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,bat,wickets,0,Royal Challengers Bangalore,3,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
23,2008,Hyderabad,2008-04-18,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,runs,0,Sunrisers Hyderabad,46,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
24,2008,Ahmedabad,2008-05-07,Gujarat Titans,Delhi Capitals,Gujarat Titans,bat,wickets,0,Delhi Capitals,4,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
25,2008,Mumbai,2008-04-04,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,runs,0,Chennai Super Kings,42,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
26,2008,Mohali,2008-03-28,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,0,Kolkata Knight Riders,9,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
27,2008,Bangalore,2008-04-06,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,bat,wickets,0,Royal Challengers Bangalore,3,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
28,2008,Hyderabad,2008-03-01,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,wickets,0,Rajasthan Royals,10,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
29,2008,Ahmedabad,2008-04-12,Gujarat Titans,Delhi Capitals,Gujarat Titans,field,wickets,0,Gujarat Titans,6,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
30,2008,Mumbai,2008-05-01,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,runs,0,Mumbai Indians,8,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
31,2008,Mohali,2008-03-01,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,runs,0,Kolkata Knight Riders,16,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
32,2008,Bangalore,2008-03-04,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,field,wickets,0,Royal Challengers Bangalore,4,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
33,2008,Hyderabad,2008-03-21,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,wickets,0,Sunrisers Hyderabad,4,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
34,2008,Ahmedabad,2008-05-16,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,runs,0,Gujarat Titans,4,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
35,2008,Mumbai,2008-04-04,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,runs,0,Mumbai Indians,23,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
36,2008,Mohali,2008-05-08,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,wickets,0,Kolkata Knight Riders,7,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
37,2008,Bangalore,2008-04-04,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,runs,0,Royal Challengers Bangalore,8,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
38,2008,Hyderabad,2008-03-21,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,wickets,0,Sunrisers Hyderabad,7,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
39,2008,Ahmedabad,2008-05-11,Gujarat Titans,Delhi Capitals,Gujarat Titans,field,wickets,0,Gujarat Titans,6,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
40,2008,Mumbai,2008-04-08,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,runs,0,Mumbai Indians,56,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
41,2008,Mohali,2008-05-09,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,runs,0,Punjab Kings,7,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
42,2008,Bangalore,2008-05-24,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,wickets,0,Lucknow Super Giants,5,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
43,2008,Hyderabad,2008-03-06,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,wickets,0,Sunrisers Hyderabad,7,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
44,2008,Ahmedabad,2008-04-20,Gujarat Titans,Delhi Capitals,Delhi Capitals,bat,runs,0,Delhi Capitals,56,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
45,2008,Mumbai,2008-03-15,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,wickets,0,Chennai Super Kings,4,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
46,2008,Mohali,2008-04-14,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,runs,0,Kolkata Knight Riders,16,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
47,2008,Bangalore,2008-03-27,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,field,runs,0,Lucknow Super Giants,11,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
48,2008,Hyderabad,2008-04-07,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,wickets,0,Rajasthan Royals,2,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
49,2008,Ahmedabad,2008-03-26,Gujarat Titans,Delhi Capitals,Gujarat Titans,field,wickets,0,Gujarat Titans,2,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
50,2008,Mumbai,2008-04-12,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,runs,0,Mumbai Indians,25,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
51,2008,Mohali,2008-05-09,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,wickets,0,Punjab Kings,4,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
52,2008,Bangalore,2008-03-20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,wickets,0,Lucknow Super Giants,5,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
53,2008,Hyderabad,2008-04-28,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,wickets,0,Sunrisers Hyderabad,6,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
54,2008,Ahmedabad,2008-04-19,Gujarat Titans,Delhi Capitals,Gujarat Titans,field,runs,0,Delhi Capitals,6,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
55,2008,Mumbai,2008-04-08,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,runs,0,Chennai Super Kings,2,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
56,2008,Mohali,2008-05-12,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,8,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
57,2008,Bangalore,2008-04-09,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,runs,0,Royal Challengers Bangalore,67,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
58,2008,Hyderabad,2008-03-21,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,runs,0,Rajasthan Royals,37,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
59,2009,Kolkata,2009-05-02,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,runs,0,Punjab Kings,68,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
60,2009,Jaipur,2009-05-26,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,tie,0,Sunrisers Hyderabad,0,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
61,2009,Ahmedabad,2009-04-19,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,wickets,0,Gujarat Titans,8,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
62,2009,Delhi,2009-04-12,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,wickets,0,Royal Challengers Bangalore,6,N,,Umpire A,Umpire B,"Arun Jaitley Stadium, Delhi"
63,2009,Mumbai,2009-05-16,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,runs,0,Mumbai Indians,43,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
64,2009,Kolkata,2009-04-20,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,runs,0,Kolkata Knight Riders,12,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
65,2009,Jaipur,2009-03-22,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,runs,0,Sunrisers Hyderabad,13,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
66,2009,Ahmedabad,2009-05-15,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,wickets,0,Chennai Super Kings,5,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
67,2009,Delhi,2009-03-10,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,wickets,0,Royal Challengers Bangalore,6,N,,Umpire A,Umpire B,"Arun Jaitley Stadium, Delhi"
68,2009,Mumbai,2009-04-18,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,runs,0,Mumbai Indians,35,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
69,2009,Kolkata,2009-05-07,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,runs,0,Kolkata Knight Riders,38,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
70,2009,Jaipur,2009-04-23,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,runs,0,Sunrisers Hyderabad,33,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
71,2009,Ahmedabad,2009-03-19,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,wickets,0,Gujarat Titans,4,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
72,2009,Delhi,2009-04-18,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,runs,0,Delhi Capitals,45,N,,Umpire A,Umpire B,"Arun Jaitley Stadium, Delhi"
73,2009,Mumbai,2009-04-23,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,runs,0,Mumbai Indians,41,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
74,2009,Kolkata,2009-05-16,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,runs,0,Punjab Kings,11,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
75,2009,Jaipur,2009-04-05,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,wickets,0,Sunrisers Hyderabad,6,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
76,2009,Ahmedabad,2009-04-24,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,wickets,0,Chennai Super Kings,5,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
77,2009,Delhi,2009-03-08,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,runs,0,Royal Challengers Bangalore,17,N,,Umpire A,Umpire B,"Arun Jaitley Stadium, Delhi"
78,2009,Mumbai,2009-05-26,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,wickets,0,Lucknow Super Giants,5,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
79,2009,Kolkata,2009-04-18,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,wickets,0,Kolkata Knight Riders,5,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
80,2009,Jaipur,2009-05-18,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,runs,0,Sunrisers Hyderabad,22,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
81,2009,Ahmedabad,2009-05-24,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,wickets,0,Chennai Super Kings,4,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
82,2009,Delhi,2009-04-20,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,runs,0,Delhi Capitals,4,N,,Umpire A,Umpire B,"Arun Jaitley Stadium, Delhi"
83,2009,Mumbai,2009-05-19,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,wickets,0,Lucknow Super Giants,3,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
84,2009,Kolkata,2009-05-27,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,7,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
85,2009,Jaipur,2009-03-09,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,wickets,0,Sunrisers Hyderabad,5,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
86,2009,Ahmedabad,2009-03-26,Gujarat Titans,Chennai Super Kings,Gujarat Titans,bat,runs,0,Gujarat Titans,17,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
87,2009,Delhi,2009-05-25,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,runs,0,Delhi Capitals,30,N,,Umpire A,Umpire B,"Arun Jaitley Stadium, Delhi"
88,2009,Mumbai,2009-03-11,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,bat,wickets,0,Mumbai Indians,7,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
89,2009,Kolkata,2009-05-04,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,runs,0,Punjab Kings,4,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
90,2009,Jaipur,2009-03-12,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,wickets,0,Rajasthan Royals,7,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
91,2009,Ahmedabad,2009-04-26,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,wickets,0,Chennai Super Kings,6,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
92,2009,Delhi,2009-05-06,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,runs,0,Delhi Capitals,9,N,,Umpire A,Umpire B,"Arun Jaitley Stadium, Delhi"
93,2009,Mumbai,2009-03-20,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,runs,0,Mumbai Indians,29,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
94,2009,Kolkata,2009-04-28,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,runs,0,Kolkata Knight Riders,16,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
95,2009,Jaipur,2009-04-27,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,runs,0,Sunrisers Hyderabad,15,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
96,2009,Ahmedabad,2009-04-07,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,runs,0,Gujarat Titans,40,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
97,2009,Delhi,2009-04-27,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,runs,0,Delhi Capitals,36,N,,Umpire A,Umpire B,"Arun Jaitley Stadium, Delhi"
98,2009,Mumbai,2009-03-09,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,runs,0,Mumbai Indians,39,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
99,2009,Kolkata,2009-03-01,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,3,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
100,2009,Jaipur,2009-05-11,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,runs,0,Rajasthan Royals,40,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
101,2009,Ahmedabad,2009-05-27,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,wickets,0,Chennai Super Kings,7,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
102,2009,Delhi,2009-05-13,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,0,Royal Challengers Bangalore,9,N,,Umpire A,Umpire B,"Arun Jaitley Stadium, Delhi"
103,2009,Mumbai,2009-05-03,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,field,runs,0,Lucknow Super Giants,19,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
104,2009,Kolkata,2009-04-03,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,wickets,0,Kolkata Knight Riders,4,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
105,2009,Jaipur,2009-04-04,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,wickets,0,Sunrisers Hyderabad,5,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
106,2009,Ahmedabad,2009-03-08,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,wickets,0,Chennai Super Kings,6,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
107,2009,Delhi,2009-05-10,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,0,Royal Challengers Bangalore,6,N,,Umpire A,Umpire B,"Arun Jaitley Stadium, Delhi"
108,2009,Mumbai,2009-04-15,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,runs,0,Mumbai Indians,3,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
109,2009,Kolkata,2009-04-25,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,wickets,0,Punjab Kings,5,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
110,2009,Jaipur,2009-03-24,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,wickets,0,Sunrisers Hyderabad,7,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
111,2009,Ahmedabad,2009-05-08,Gujarat Titans,Chennai Super Kings,Gujarat Titans,bat,runs,0,Gujarat Titans,21,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
112,2009,Delhi,2009-04-07,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,wickets,0,Delhi Capitals,8,N,,Umpire A,Umpire B,"Arun Jaitley Stadium, Delhi"
113,2009,Mumbai,2009-05-15,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,bat,runs,0,Lucknow Super Giants,14,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
114,2009,Kolkata,2009-04-19,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,runs,0,Kolkata Knight Riders,11,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
115,2009,Jaipur,2009-04-05,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,runs,0,Rajasthan Royals,30,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
116,2010,Mohali,2010-04-01,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,runs,0,Mumbai Indians,4,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
117,2010,Lucknow,2010-04-13,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,bat,wickets,0,Lucknow Super Giants,5,N,,Umpire A,Umpire B,"Ekana Cricket Stadium, Lucknow"
118,2010,Delhi,2010-03-07,Delhi Capitals,Gujarat Titans,Delhi Capitals,field,runs,0,Gujarat Titans,34,N,,Umpire A,Umpire B,"Arun Jaitley Stadium, Delhi"
119,2010,Chennai,2010-03-25,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,wickets,0,Chennai Super Kings,5,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
120,2010,Jaipur,2010-04-12,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,runs,0,Sunrisers Hyderabad,15,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
121,2010,Mohali,2010-04-19,Punjab Kings,Mumbai Indians,Punjab Kings,bat,wickets,0,Mumbai Indians,8,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
122,2010,Lucknow,2010-03-25,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,bat,runs,0,Lucknow Super Giants,57,N,,Umpire A,Umpire B,"Ekana Cricket Stadium, Lucknow"
123,2010,Delhi,2010-04-01,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,wickets,0,Gujarat Titans,6,N,,Umpire A,Umpire B,"Arun Jaitley Stadium, Delhi"
124,2010,Chennai,2010-05-05,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,wickets,0,Chennai Super Kings,1,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
125,2010,Jaipur,2010-05-12,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,runs,0,Rajasthan Royals,33,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
126,2010,Mohali,2010-05-07,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,wickets,0,Punjab Kings,8,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
127,2010,Lucknow,2010-04-05,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,bat,runs,0,Lucknow Super Giants,27,N,,Umpire A,Umpire B,"Ekana Cricket Stadium, Lucknow"
128,2010,Delhi,2010-04-26,Delhi Capitals,Gujarat Titans,Gujarat Titans,bat,runs,0,Gujarat Titans,21,N,,Umpire A,Umpire B,"Arun Jaitley Stadium, Delhi"
129,2010,Chennai,2010-04-12,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,wickets,0,Chennai Super Kings,7,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
